HOUR,NS
1,1573.78
2,1537.95
3,1509.02
4,1495.29
5,1503.7
6,1507.34
7,1544.98
8,1575.36
9,1628.53
10,1697.77
11,1731.9
12,1742.61
13,1734.31
14,1696.31
15,1675.93
16,1689.72
17,1769.9
18,1830.95
19,1798.24
20,1765.68
21,1723.73
22,1662.66
23,1572.45
24,1505.96
25,1456.16
26,1439.98
27,1447.14
28,1456.21
29,1477.02
30,1517.04
31,1629.63
32,1713.39
33,1790.88
34,1829.58
35,1838.97
36,1852.82
37,1869.74
38,1847.38
39,1822.4
40,1812.12
41,1873.01
42,1980.43
43,1971.7
44,1938.54
45,1894.26
46,1808.79
47,1694.54
48,1647.55
49,1624.96
50,1636.9
51,1609.17
52,1609.88
53,1599.54
54,1632.83
55,1784.18
56,1883.27
57,1900.75
58,1837.6
59,1763.96
60,1716.05
61,1699.44
62,1651.09
63,1617.46
64,1632.56
65,1710.48
66,1835.24
67,1819.32
68,1788.32
69,1740.18
70,1662.12
71,1544.9
72,1501.38
73,1479.52
74,1471.7
75,1476.22
76,1462.19
77,1464.23
78,1499.43
79,1554.27
80,1608.27
81,1674.9
82,1748.95
83,1743.93
84,1755.43
85,1831.87
86,1825.09
87,1795.96
88,1753.73
89,1693.23
90,1568.8
91,1438.35
92,1435.33
93,1414.24
94,1408.59
95,1337.77
96,1247.31
97,1158.32
98,1131.42
99,1076.99
100,1078.25
101,1104.46
102,1173.58
103,1297.56
104,1342.61
105,1367.54
106,1460.93
107,1527.49
108,1533.75
109,1553.45
110,1553.06
111,1558.19
112,1573.74
113,1633.54
114,1707.52
115,1700.03
116,1687.59
117,1690.34
118,1675.64
119,1663.9
120,1673.81
121,1678.25
122,1661.91
123,1654.34
124,1653.58
125,1672.51
126,1620.13
127,1668.02
128,1741.05
129,1806.46
130,1847.81
131,1868.47
132,1871.47
133,1868.31
134,1835.43
135,1828.47
136,1861.43
137,1966.2
138,2051.65
139,2024.85
140,1991.62
141,1950.06
142,1892.39
143,1815.54
144,1753.76
145,1689.44
146,1664.59
147,1713.32
148,1714.45
149,1723.86
150,1748.41
151,1761.44
152,1791.3
153,1872.48
154,1924.79
155,1939.14
156,1934.75
157,1915.67
158,1876.3
159,1853.51
160,1866.38
161,1969.18
162,2072.51
163,2056.02
164,2032.85
165,1973.36
166,1895.41
167,1773.16
168,1683.33
169,1662.35
170,1636.55
171,1609.73
172,1622.24
173,1626.11
174,1608.89
175,1688.04
176,1771.67
177,1800.76
178,1794.27
179,1762.27
180,1745.9
181,1727.67
182,1666.19
183,1654.28
184,1694.74
185,1763.09
186,1830.56
187,1785.85
188,1740.71
189,1692.92
190,1615.21
191,1498.26
192,1444.45
193,1410.3
194,1378.49
195,1367.36
196,1340.05
197,1335.71
198,1385.78
199,1505.55
200,1549.54
201,1568.17
202,1559.46
203,1554.44
204,1554.74
205,1551.73
206,1554.57
207,1553.05
208,1554.67
209,1612.83
210,1735.01
211,1720.73
212,1703.33
213,1739.94
214,1685.2
215,1640.25
216,1623.34
217,1609.85
218,1585.34
219,1570.05
220,1569.05
221,1588.59
222,1655.33
223,1808.01
224,1865.26
225,1833.52
226,1779.03
227,1733.43
228,1689.26
229,1665.09
230,1632.27
231,1600.65
232,1617.16
233,1705.17
234,1815.31
235,1778.87
236,1757.16
237,1705
238,1646.43
239,1557.1
240,1519.39
241,1536.83
242,1542.3
243,1541.86
244,1562.63
245,1543.79
246,1571.69
247,1682.83
248,1740.06
249,1700.45
250,1667.28
251,1638.9
252,1620.84
253,1587.74
254,1531.06
255,1497.93
256,1506.87
257,1561.33
258,1623.62
259,1594.69
260,1564.2
261,1520.14
262,1477
263,1360.19
264,1318.36
265,1293.98
266,1269.41
267,1235.67
268,1215.34
269,1222.33
270,1252.27
271,1331.48
272,1422.26
273,1432.95
274,1429.45
275,1414.61
276,1386.45
277,1359.48
278,1337.53
279,1324.3
280,1335.68
281,1393.15
282,1444.6
283,1408.21
284,1366.96
285,1381.91
286,1324.74
287,1251.19
288,1199.96
289,1147.82
290,1088.39
291,1059.43
292,1049.32
293,1049.34
294,1065.69
295,1038.03
296,1094.55
297,1158.01
298,1225.16
299,1279.62
300,1313.28
301,1315.17
302,1302.79
303,1270.09
304,1280.43
305,1325.79
306,1390.44
307,1356.67
308,1309.78
309,1313.02
310,1294.34
311,1262.45
312,1213.65
313,1134.8
314,1087.56
315,1080.64
316,1100.57
317,1107.27
318,1127.88
319,1182.04
320,1247.62
321,1356.7
322,1456.22
323,1508.55
324,1542.96
325,1564.89
326,1543.79
327,1531.96
328,1550.54
329,1634.46
330,1698.52
331,1668.61
332,1640.51
333,1603.6
334,1538.26
335,1456.25
336,1466.16
337,1460.48
338,1416.2
339,1412.44
340,1420.76
341,1439.23
342,1480.69
343,1551.56
344,1664.7
345,1701.37
346,1699.26
347,1670.45
348,1668.76
349,1665.51
350,1648.26
351,1647.44
352,1675.11
353,1747.58
354,1829.68
355,1797.01
356,1752.94
357,1707.83
358,1634.13
359,1529.5
360,1480.41
361,1443.61
362,1415.28
363,1379.14
364,1344.39
365,1348.61
366,1393
367,1514.64
368,1600.83
369,1622.77
370,1604.64
371,1580.93
372,1580.55
373,1591.25
374,1566.67
375,1552.06
376,1578.72
377,1657.86
378,1741.5
379,1736.09
380,1711.09
381,1668.47
382,1603.41
383,1503.88
384,1466.13
385,1440.57
386,1452.12
387,1424.25
388,1413.61
389,1419.37
390,1469.43
391,1618.27
392,1735.56
393,1758.76
394,1758.39
395,1695.98
396,1693.12
397,1716.46
398,1717.08
399,1709.57
400,1771.65
401,1808.3
402,1866.85
403,1828.72
404,1789.12
405,1731.31
406,1639.22
407,1549.07
408,1503.82
409,1455.14
410,1417.49
411,1382.94
412,1365.61
413,1375.14
414,1431.55
415,1560.44
416,1613.73
417,1641.57
418,1636.09
419,1613.94
420,1597.62
421,1599.01
422,1568.8
423,1541.38
424,1587.82
425,1656.89
426,1776.97
427,1779.33
428,1754.77
429,1717.4
430,1655.51
431,1562.9
432,1584.3
433,1568.69
434,1548.7
435,1530.19
436,1521.01
437,1542.39
438,1614.73
439,1685.53
440,1785.24
441,1797.58
442,1715.71
443,1674.72
444,1647.74
445,1657.27
446,1652.87
447,1646.12
448,1654.07
449,1692.56
450,1783.36
451,1773.72
452,1782.34
453,1748.33
454,1704.11
455,1669.32
456,1656.09
457,1628.43
458,1585.3
459,1551.14
460,1527.85
461,1510.06
462,1495.53
463,1524.77
464,1591.16
465,1654
466,1733.11
467,1736.22
468,1729.86
469,1732.29
470,1682.42
471,1626.9
472,1604.99
473,1643.38
474,1723.63
475,1699.68
476,1651.88
477,1600.01
478,1552.19
479,1510.28
480,1448.09
481,1390.09
482,1344.8
483,1327.85
484,1326.6
485,1347.12
486,1375.75
487,1429.87
488,1460.73
489,1537.84
490,1528.21
491,1536.32
492,1523.51
493,1496
494,1455.27
495,1425.79
496,1448.07
497,1544.38
498,1689.86
499,1701.23
500,1697.21
501,1665.73
502,1593.12
503,1534.29
504,1523.46
505,1474.69
506,1458.02
507,1467.09
